method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,episodes,seeds
autoencoder_reconstruction_audit,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
autoencoder_reconstruction_audit,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
autoencoder_reconstruction_audit,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
autoencoder_reconstruction_audit,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
autoencoder_reconstruction_audit,nominal_valid,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,60,5
autoencoder_reconstruction_audit,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
autoencoder_reconstruction_audit,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
contact_impulse_threshold,actuator_saturation,1.0000,0.3333,0.5000,0.3333,0.0000,0.3333,1.0000,60,5
contact_impulse_threshold,combined_violation_shift,1.0000,0.0667,0.1250,0.0667,0.0000,0.0667,1.0000,60,5
contact_impulse_threshold,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
contact_impulse_threshold,energy_work_corruption,1.0000,0.1000,0.1818,0.1000,0.0000,0.1000,1.0000,60,5
contact_impulse_threshold,nominal_valid,0.0000,0.0000,0.0000,0.8833,0.1167,0.1167,0.0000,60,5
contact_impulse_threshold,noncausal_teleport,1.0000,0.0333,0.0645,0.0333,0.0000,0.0333,1.0000,60,5
contact_impulse_threshold,support_levitation,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,60,5
energy_residual_threshold,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
energy_residual_threshold,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
energy_residual_threshold,contact_corruption,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,60,5
energy_residual_threshold,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
energy_residual_threshold,nominal_valid,0.0000,0.0000,0.0000,0.9667,0.0333,0.0333,0.0000,60,5
energy_residual_threshold,noncausal_teleport,1.0000,0.0500,0.0952,0.0500,0.0000,0.0500,1.0000,60,5
energy_residual_threshold,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
ensemble_dynamics_uncertainty,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
ensemble_dynamics_uncertainty,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
ensemble_dynamics_uncertainty,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
ensemble_dynamics_uncertainty,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
ensemble_dynamics_uncertainty,nominal_valid,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,60,5
ensemble_dynamics_uncertainty,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
ensemble_dynamics_uncertainty,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
kinematic_residual_threshold,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
kinematic_residual_threshold,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
kinematic_residual_threshold,contact_corruption,1.0000,0.1167,0.2090,0.1167,0.0000,0.1167,1.0000,60,5
kinematic_residual_threshold,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
kinematic_residual_threshold,nominal_valid,0.0000,0.0000,0.0000,0.7667,0.2333,0.2333,0.0000,60,5
kinematic_residual_threshold,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
kinematic_residual_threshold,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
oracle_violation_labels,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
oracle_violation_labels,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
oracle_violation_labels,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
oracle_violation_labels,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
oracle_violation_labels,nominal_valid,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,60,5
oracle_violation_labels,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
oracle_violation_labels,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
physics_violation_audit,actuator_saturation,1.0000,0.9667,0.9831,0.9667,0.0000,0.9667,1.0000,60,5
physics_violation_audit,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
physics_violation_audit,contact_corruption,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,60,5
physics_violation_audit,energy_work_corruption,1.0000,0.4333,0.6047,0.4333,0.0000,0.4333,1.0000,60,5
physics_violation_audit,nominal_valid,0.0000,0.0000,0.0000,0.7667,0.2333,0.2333,0.0000,60,5
physics_violation_audit,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
physics_violation_audit,support_levitation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,60,5
random_flagger,actuator_saturation,1.0000,0.5500,0.7097,0.5500,0.0000,0.5500,1.0000,60,5
random_flagger,combined_violation_shift,1.0000,0.5000,0.6667,0.5000,0.0000,0.5000,1.0000,60,5
random_flagger,contact_corruption,1.0000,0.4833,0.6517,0.4833,0.0000,0.4833,1.0000,60,5
random_flagger,energy_work_corruption,1.0000,0.5333,0.6957,0.5333,0.0000,0.5333,1.0000,60,5
random_flagger,nominal_valid,0.0000,0.0000,0.0000,0.4833,0.5167,0.5167,0.0000,60,5
random_flagger,noncausal_teleport,1.0000,0.5500,0.7097,0.5500,0.0000,0.5500,1.0000,60,5
random_flagger,support_levitation,1.0000,0.4500,0.6207,0.4500,0.0000,0.4500,1.0000,60,5
supervised_failure_classifier,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
supervised_failure_classifier,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
supervised_failure_classifier,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
supervised_failure_classifier,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
supervised_failure_classifier,nominal_valid,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,60,5
supervised_failure_classifier,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
supervised_failure_classifier,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,60,5
