method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,episodes,seeds,stress_level
autoencoder_reconstruction_audit,stress_0.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.00
autoencoder_reconstruction_audit,stress_0.20,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.20
autoencoder_reconstruction_audit,stress_0.40,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.40
autoencoder_reconstruction_audit,stress_0.60,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.60
autoencoder_reconstruction_audit,stress_0.80,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.80
autoencoder_reconstruction_audit,stress_1.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,1.00
ensemble_dynamics_uncertainty,stress_0.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.00
ensemble_dynamics_uncertainty,stress_0.20,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.20
ensemble_dynamics_uncertainty,stress_0.40,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.40
ensemble_dynamics_uncertainty,stress_0.60,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.60
ensemble_dynamics_uncertainty,stress_0.80,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.80
ensemble_dynamics_uncertainty,stress_1.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,1.00
kinematic_residual_threshold,stress_0.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.00
kinematic_residual_threshold,stress_0.20,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.20
kinematic_residual_threshold,stress_0.40,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.40
kinematic_residual_threshold,stress_0.60,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.60
kinematic_residual_threshold,stress_0.80,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.80
kinematic_residual_threshold,stress_1.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,1.00
physics_violation_audit,stress_0.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.00
physics_violation_audit,stress_0.20,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.20
physics_violation_audit,stress_0.40,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.40
physics_violation_audit,stress_0.60,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.60
physics_violation_audit,stress_0.80,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.80
physics_violation_audit,stress_1.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,1.00
supervised_failure_classifier,stress_0.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.00
supervised_failure_classifier,stress_0.20,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.20
supervised_failure_classifier,stress_0.40,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.40
supervised_failure_classifier,stress_0.60,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.60
supervised_failure_classifier,stress_0.80,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,0.80
supervised_failure_classifier,stress_1.00,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,40,5,1.00
